latin sqaure num,Topics 1,Topics 2,Topics 3,Topics 4,Topics 5,Topics 1,Topics 2,Topics 3,Topics 4,Topics 5,MergedTopic1
1,Developing warehouses | Warehouse ,Directing the 7R project development | Operation control,,,,7R Accolade to Poland | Strong warehouse transfer,Head of Accolade directing 7r development | Strong wearhouse transfer,,,,Developing warehouses  Warehouse  7R Accolade to Poland  Strong warehouse transfer
2,Italian art and culture expo| Art and Culture,Italian Pop art exhibits in Warsaw | Museum or Cultural center,,,,50 works of Italian pop art Sept 27 | Culture and Science,Italian pop art display| Warsaw culture and art,,,,Italian art and culture expo Art and Culture 50 works of Italian pop art Sept 27  Culture and Science
3,Two deaths of people who symbolize change | Changes since 1900s,Two deaths in past month | Symbols of change,,,,Mid-20th Century Influential Figures Deaths | Mid 20th Century Activists,Change in the Mid 20th Century | Symbols of Change,,,,Two deaths of people who symbolize change  Changes since 1900s Mid-20th Century Influential Figures Deaths  Mid 20th Century Activists
4,Headmasters do protect teachers' privacy | Motivational allowances in schools,Refusal to reveal allowances | Teacher's Privacy,,,,Refusal of Teacher Allowances | Teacher Privacy,School Refusal to Accommodate Teachers | Educator Rights,,,,Headmasters do protect teachers' privacy  Motivational allowances in schools Refusal of Teacher Allowances  Teacher Privacy
5,Polish financial agreement with European Commission | Global Finance,National Reconstruction Plan | Socio-economic policies,,,,Poland national reconstruction plan | Financial agreement for national reconstruction.,Source of financial funding | Securing national financial funds.,,,,Polish financial agreement with European Commission  Global Finance Poland national reconstruction plan  Financial agreement for national reconstruction.
6,Successful troops | Russian War,Rebuilding country attacked by Russia | Post-war reparations,,,,Nation rebuilding after external attack| Adviced plans after military success. ,Prioritizing national renovation | Quick decision making,,,,Successful troops  Russian War Nation rebuilding after external attack Adviced plans after military success. 
7,Voivodship Regional Council Scholarships | Education and Scholarships,Entrepreneurial Scholarships Exemptions | Scholarship Rules ,,,,Voivodship reginal councils's scholarships,Income Tax payments,,,,Voivodship Regional Council Scholarships  Education and Scholarships Voivodship reginal councils's scholarships
8,Budget for Institution Creation | Infrastructure Spending,Governmental spending | Construction,,,,Monetary allocations for constructions,Polish authority resource management,,,,Budget for Institution Creation  Infrastructure Spending Monetary allocations for constructions
9,Draghi should take immediate action | Urgent action needed,Effects due increased energy prices | Rise in energy prices,,,,Mario Draghi's government | Politics and Government,Other Administration | Transition of Power,Increasing Energy Prices | National Economics,,,Draghi should take immediate action  Urgent action needed Mario Draghi's government  Politics and Government
10,Authorities detain suspect attempting destruction | Attempted fire at Military Headquarters,Failed attempt to create havoc | Suspect detained,,,,Detained suspect | Criminal Investigation,Fire at Military Supplementary Headquarters in Czerniowsk | Violent Crime,Suspect allegedly mentally ill | Criminal insanity,,,Authorities detain suspect attempting destruction  Attempted fire at Military Headquarters Detained suspect  Criminal Investigation
