latin sqaure num,doc_id,link,date,date_EN,title,text,title_EN,text_EN,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
1,D9392,https://www.rp.pl/ekonomia/nieruchomosci-komercyjne/art37118781-michal-bialas-z-accolade-do-7r,26.09.2022 11:01,"""""","""""",Mocny transfer magazynowy: były szef Accolade na Polskę pokieruje rozwojem 7R.,"""""",Strong warehouse transfer: The former head of Accolade to Poland will direct the development of 7R.,Developing warehouses | Warehouse ,Directing the 7R project development | Operation control,,,
2,D1124,https://www.rp.pl/wydarzenia/malarstwo/art37120001-wystawa-w-warszawie-pop-art-po-wlosku,26.09.2022 14:44,"""""","""""",Blisko 50 dzieł włoskiego pop-artu prezentuje wystawa otwierana 27 września w Pałacu Kultury i Nauki w Warszawie.,"""""",Nearly 50 works of the Italian pop art are presented by an exhibition opened on September 27 at the Palace of Culture and Science in Warsaw.,Italian art and culture expo| Art and Culture,Italian Pop art exhibits in Warsaw | Museum or Cultural center,,,
3,D3284,https://www.rp.pl/ekonomia/opinie-ekonomiczne/art37096931-witold-m-orlowski-prawdziwy-koniec-starych-imperiow,22.09.2022 03:00,"""""","""""","W ciągu ostatniego miesiąca odeszły dwie osoby, które mogą być symbolami zmian zachodzących na świecie od połowy XX wieku.","""""","Over the past month, two people have passed away who can be symbols of changes taking place in the world since the mid -20th century.",Two deaths of people who symbolize change | Changes since 1900s,Two deaths in past month | Symbols of change,,,
4,D8456,https://www.rp.pl/prawo//edukacja.rp.pl/nauczyciele/art37058941-pensje-nauczyciela-mozna-ujawnic,15.09.2022 08:29,"""""","""""",Dyrektor szkoły nie może powoływać się na ochronę prywatności nauczycieli i odmawiać podania wysokości ich dodatków motywacyjnych.,"""""",The school headmaster may not rely on the protection of teachers' privacy and refuse to provide the amount of their motivational allowances.,Headmasters do protect teachers' privacy | Motivational allowances in schools,Refusal to reveal allowances | Teacher's Privacy,,,
5,D1055,https://www.rp.pl/prawo/opinie-prawne/art37087031-anna-slojewska-pieniadze-z-kpo-nie-przepadna,20.09.2022 17:22,"""""","""""",Polska podpisała z Komisją Europejską umowę finansową w sprawie Krajowego Planu Odbudowy. Zniknęło ryzyko utraty pieniędzy przez końcem roku.,"""""",Poland has signed a financial agreement with the European Commission regarding the National Reconstruction Plan.The risk of losing money at the end of the year has disappeared.,Polish financial agreement with European Commission | Global Finance,National Reconstruction Plan | Socio-economic policies,,,
6,D5271,https://www.rp.pl/wydarzenia/opinie-polityczno-spoleczne/art37112321-piotr-arak-ukraina-po-wojnie-ma-szanse-na-sukces-gospodarczy,24.09.2022 07:25,"""""","""""","Sukcesy wojsk powinny skłonić do szybszego myślenia o tym, jak rozpocząć proces odbudowywania zaatakowanego przez Rosję kraju – pisze ekonomista.","""""",The successes of the troops should lead to thinking faster on how to start the process of rebuilding the country attacked by Russia - writes the economist.,Successful troops | Russian War,Rebuilding country attacked by Russia | Post-war reparations,,,
7,D3784,https://www.rp.pl/prawo/podatki/art37116291-sad-stypendysta-ponad-limit-3800-zl-zaplaci-podatek,26.09.2022 07:18,"""""","""""","Stypendia motywujące i przedsiębiorcze, których wysokość i zasady udzielania zostały określone w uchwale sejmiku województwa, nie są w całości zwolnione z PIT.","""""","Motivating and entrepreneurial scholarships, whose amount and rules of granting are set out in the resolution of the voivodship regional council, are not fully exempt from PIT.",Voivodship Regional Council Scholarships | Education and Scholarships,Entrepreneurial Scholarships Exemptions | Scholarship Rules ,,,
8,D5175,https://www.rp.pl/prawo/finanse/art37116221-pieniadze-na-branzowe-centra-umiejetnosci,26.09.2022 21:44,"""""","""""","Na utworzenie 120 centrów władze przeznaczyły niemal 1,5 mld zł. Środki te będzie można wykorzystać na budowę takiej placówki, jej wyposażenie i stworzenie planu szkoleń.","""""","The authorities allocated almost PLN 1.5 billion to the creation of 120 centers.These funds can be used to build such an institution, its equipment and the creation of a training plan.",Budget for Institution Creation | Infrastructure Spending,Governmental spending | Construction,,,
9,D2294,https://www.rp.pl/wydarzenia/polityka/art37119551-salvini-chce-by-cenami-energii-zajal-sie-ustepujacy-rzad-wloch,26.09.2022 13:27,"""""","""""",Ustępujący rząd Mario Draghiego nie powinien pozostawić kolejnej administracji konieczności podejmowania pilnych kroków mających na celu złagodzenie skutków dużego wzrostu cen energii.,"""""",The outgoing government of Mario Draghi should not leave another administration to take urgent steps to alleviate the effects of a large increase in energy prices.,Draghi should take immediate action | Urgent action needed,Effects due increased energy prices | Rise in energy prices,,,
10,D7052,https://www.rp.pl/wydarzenia/konflikty-zbrojne/art37120331-podpalil-komende-uzupelnien-w-obwodzie-kaliningradzkim-wedlug-wladz-jest-chory-psychicznie,26.09.2022 15:35,"""""","""""","Organy ścigania zatrzymały podejrzanego o próbę podpalenia wojskowej komendy uzupełnień w Czerniachowsku w obwodzie kaliningradzkim. Miejscowe władze przekonują, że mężczyzna jest chory psychicznie.","""""",Law enforcement agencies detained the suspect at an attempt to set fire to the Military Supplementary Headquarters in Czerniowsk in the Kaliningrad region.Local authorities argue that the man is mentally ill.,Authorities detain suspect attempting destruction | Attempted fire at Military Headquarters,Failed attempt to create havoc | Suspect detained,,,
11,D7298,https://www.rp.pl/wydarzenia/kosmos/art36975691-nasa-to-pierwsze-takie-zdjecie-planety-poza-ukladem-slonecznym,01.09.2022 18:08,"""""","""""","Astronomie po raz pierwszy wykorzystali Kosmiczny Teleskop Jamesa Webba do wykonania bezpośredniego zdjęcia egzoplanety, czyli planety znajdującej się poza Układem Słonecznym. Fotografię opublikowała NASA.","""""","The Astronome for the first time used James Webb's space telescope to take a direct photo of the exoplanet, i.e. a planet outside the solar system.NASA published a photograph.",James Webb Telescope's first photograph,Nasa and Space photography,,,
12,D3684,https://www.rp.pl/ekonomia/opinie-ekonomiczne/art37106141-anita-blaszczak-polityczne-sympatie-w-lesie,22.09.2022 21:39,"""""","""""","Niektórzy może jeszcze pamiętają, jak to kraje socjalistyczne tworzyły swoje własne standardy, ignorując te złe, kapitalistyczne. Obecne problemy z certyfikacją drewna nasuwają pytanie, czy aby nie próbujemy wrócić do tamtych czasów.","""""","Some may still remember how socialist countries have created their own standards, ignoring the evil, capitalist ones.Current wood certification problems arise whether we are not trying to go back to those times.",Wood certification problems,Socialist vs. Capalist policies,,,
13,D8374,https://www.rp.pl/wydarzenia/archeologia/art37080041-strefa-gazy-palestynski-rolnik-znalazl-skarb,19.09.2022 14:23,"""""","""""","Podczas przygotowań do sadzenia drzew oliwnych na swojej ziemi w al-Burajdż w środkowej Strefie Gazy, palestyński rolnik odkrył cenną mozaikę podłogową. Według ekspertów to jeden z największych skarbów archeologicznych, jakie kiedykolwiek znaleziono w tym rejonie.","""""","While preparing for planting olive trees on his land in Al-Burdż in the middle Zone Gaza, a Palestinian farmer discovered a valuable floor mosaic.According to experts, it is one of the greatest archaeological treasures that have ever been found in this area.",Floor mosaic discovered in Palestine | Archeological discovery,Archeology in the middle east | Archeology,,,
14,D3882,https://www.rp.pl/ekonomia/gospodarka/art37120791-ekonomisci-gospodarce-grozi-trudna-do-unikniecia-katastrofa,26.09.2022 16:48,"""""","""""","Polsce grozi najpoważniejszy kryzys gospodarczy od ponad 30 lat. Stoimy na progu katastrofy. Polityka gospodarcza jest w dryfie, trzeba jej szybko przywrócić sterowność – alarmują ekonomiści. Apelują do rządu o poważną rozmowę i pilne wdrożenie działań naprawczych. Czy ten ich posłucha?","""""","Poland is threatened with the most serious economic crisis for over 30 years.We stand on the threshold of the disaster.Economic policy is in a drift, you need to quickly restore control - economists alert.They appeal to the government for a serious conversation and urgent implementation of repair activities.Will he listen to them?",Economic turmoil in Poland | Economy of Poland,Political and economic policy in poland | Polish economic policy,,,
